agents,utilities
"('MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random200')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-MAST')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
