agents,utilities
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random0')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
