agents,utilities
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-MAST')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0"
