agents,utilities
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-Random0')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random0' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
