agents,utilities
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
