agents,utilities
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'MCTS-UCB1-0.6-NST')","0.0;0.0"
