agents,utilities
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0"
