agents,utilities
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random200')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
