agents,utilities
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","1.0;0.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","-1.0;0.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","0.5;0.5;-1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random')","-1.0;0.5;0.5"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","0.5;0.5;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","1.0;-1.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","0.0;1.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","1.0;-1.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","0.0;1.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;0.0;1.0"
