agents,utilities
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0"
