agents,utilities
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-MAST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-MAST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-MAST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-MAST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-MAST' / 'MCTS-UCB1Tuned-0.6-NST' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
