agents,utilities
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
