agents,utilities
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","0.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","0.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.1-Random0')","0.0;0.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.1-Random0' / 'Random')","1.0;-1.0"
