agents,utilities
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.8666666666666667;0.33333333333333337;0.19999999999999996;0.7333333333333334;1.0;-0.6000000000000001;-0.33333333333333326;-0.46666666666666656;-0.06666666666666665;0.8666666666666667;0.6;0.06666666666666665;-0.7333333333333334;-1.0;-0.19999999999999996;0.4666666666666667"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.19999999999999996;-0.6000000000000001;0.8666666666666667;1.0;0.06666666666666665;-1.0;-0.33333333333333326;0.33333333333333337;0.19999999999999996;-0.46666666666666656;-0.7333333333333334;-0.06666666666666665;0.4666666666666667;0.7333333333333334;-0.8666666666666667;0.6"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.06666666666666665;-0.7333333333333334;0.8666666666666667;-0.33333333333333326;0.06666666666666665;-0.19999999999999996;0.19999999999999996;-0.8666666666666667;0.7333333333333334;0.4666666666666667;1.0;0.6;-0.46666666666666656;-0.6000000000000001;-1.0;0.33333333333333337"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.8666666666666667;-0.33333333333333326;0.4666666666666667;-0.6000000000000001;-0.06666666666666665;-0.19999999999999996;0.8666666666666667;-0.7333333333333334;0.19999999999999996;-0.46666666666666656;0.06666666666666665;0.33333333333333337;0.7333333333333334;0.6;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.06666666666666665;-0.7333333333333334;1.0;0.7333333333333334;0.4666666666666667;0.6;0.33333333333333337;-0.46666666666666656;-0.8666666666666667;-1.0;-0.19999999999999996;-0.33333333333333326;-0.6000000000000001;0.19999999999999996;0.8666666666666667;-0.06666666666666665"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.8666666666666667;0.06666666666666665;-0.33333333333333326;0.6;0.4666666666666667;-0.6000000000000001;-1.0;0.7333333333333334;0.19999999999999996;1.0;-0.19999999999999996;-0.46666666666666656;0.33333333333333337;-0.06666666666666665;0.8666666666666667;-0.7333333333333334"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.19999999999999996;0.6;0.19999999999999996;0.7333333333333334;0.4666666666666667;-0.33333333333333326;-0.46666666666666656;-0.7333333333333334;-1.0;0.33333333333333337;0.06666666666666665;1.0;-0.6000000000000001;0.8666666666666667;-0.06666666666666665;-0.8666666666666667"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.19999999999999996;0.8666666666666667;-1.0;-0.8666666666666667;-0.46666666666666656;0.6;0.7333333333333334;-0.6000000000000001;0.33333333333333337;-0.06666666666666665;0.06666666666666665;1.0;-0.33333333333333326;-0.19999999999999996;0.4666666666666667;-0.7333333333333334"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.19999999999999996;0.6;0.06666666666666665;0.7333333333333334;0.8666666666666667;0.33333333333333337;-1.0;-0.19999999999999996;-0.8666666666666667;-0.46666666666666656;-0.7333333333333334;-0.6000000000000001;0.4666666666666667;-0.06666666666666665;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-0.8666666666666667;0.4666666666666667;0.19999999999999996;-0.19999999999999996;0.06666666666666665;1.0;-0.46666666666666656;-0.6000000000000001;0.7333333333333334;0.6;0.8666666666666667;0.33333333333333337;-0.7333333333333334;-0.06666666666666665;-1.0"
