agents,utilities
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;0.0;1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random0')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;1.0;0.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;-1.0;0.0"
