agents,utilities
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.5;0.5;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","-1.0;1.0;0.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;-1.0;1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.5;0.5;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","-1.0;0.0;1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","-1.0;0.5;0.5"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4')","0.5;0.5;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4')","0.5;-1.0;0.5"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4')","-1.0;1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;0.5;0.5"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.5;0.5;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.5;0.5;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.5;0.5;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.6-Random4')","1.0;0.0;-1.0"
