agents,utilities
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'Random')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;0.0"
