agents,utilities
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-1.41421356237-NST')","0.0;0.0"
