agents,utilities
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;1.0;0.0;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-0.33333333333333326;0.33333333333333337;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;-0.33333333333333326;1.0;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.33333333333333337;-1.0;1.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-1.0;0.0;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-1.0;0.33333333333333337;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.33333333333333337;-1.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.33333333333333337;-0.33333333333333326;-1.0;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-0.6666666666666665;0.33333333333333337;-0.6666666666666665"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-1.0;0.33333333333333337;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","-1.0;1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","0.33333333333333337;-0.33333333333333326;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","0.33333333333333337;-1.0;1.0;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random')","-1.0;1.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;1.0;-0.6666666666666665;0.33333333333333337"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-1.0;1.0;0.33333333333333337;-0.33333333333333326"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;-0.33333333333333326;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;1.0;-0.33333333333333326"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-1.0;1.0;0.33333333333333337;-0.33333333333333326"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-1.0;1.0;-0.33333333333333326"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;-0.33333333333333326;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","1.0;-1.0;0.33333333333333337;-0.33333333333333326"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-0.6666666666666665;1.0;-0.6666666666666665;0.33333333333333337"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-1.0;1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-1.0;1.0;0.33333333333333337;-0.33333333333333326"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","0.0;1.0;-1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","0.33333333333333337;1.0;-0.33333333333333326;-1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-1.0;1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-1.0;-0.33333333333333326;0.33333333333333337;1.0"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","-1.0;1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'Random' / 'Random')","0.33333333333333337;-0.33333333333333326;-1.0;1.0"
