agents,utilities
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-Random4')","0.0;0.0"
