GameRulesetName,Id
Adugo,37
Asalto,1368
Bagh_Bandi,898
Bagh_Batti,766
Bagh_GutiKarwi_Described,632
Bagh_GutiCyningstan_Suggested,635
Bagh_GutiMurray_Suggested,634
Bagha_Guti,910
BaghchalBaghchal_Observed,38
BaghchalBaghachal_Observed,715
Bam_Blang_Beh_Khla,901
Bouge_Shodra,716
Cercar_La_LiebreAlfonso_X_Described,383
Cercar_La_LiebreMurray_Described,598
CoyoteMurray_Suggested,399
Demala_Diviyan_Keliya,397
Diviyan_Keliya,39
El_Cazador,1945
El_Perro,1942
El_Zorro,1943
Fox_and_GeeseThirteen_Geese_Murray_Described,411
Fox_and_GeeseSeventeen_Geese_Described,707
Gala_Buginese,1094
Gala,804
Gasetavl_Gedved,1085
Gasetavl,1084
Gioco_dellOrsoGioco_dellOrso_Described,1163
Gioco_dellOrsoBear_Wins_One_Round_Suggested,1956
Go_with_the_Floe,388
HaretavlHaretavl_Eleven_Points_Described,770
HaretavlHare_Wins_Suggested,1898
Hat_Diviyan_Keliya,390
Huli-Mane_Ata,1139
Hund_efter_Hare_ThyHund_efter_Hare_Thy_Observed,1082
Hund_efter_Hare_ThyHare_wins_Suggested,1953
Hund_efter_Hare_VendsysselHund_efter_Hare_Vendsyssel_Observed,1083
Hund_efter_Hare_VendsysselHare_Wins_Suggested,1954
Hyvn_aetter_HareHyvn_aetter_Hare_Described,521
Hyvn_aetter_HareHare_Wins_Suggested,1955
Janes_SoppiJanes_Soppi_Described,1072
Janes_SoppiHare_wins_Suggested,1952
Jeu_de_Renard_Two_Foxes,878
Jeu_de_Renard,877
Jeu_du_Renard_et_de_la_Poule,984
Jeu_MilitaireLucas_Described,387
Jeu_MilitaireGardner_Suggested,591
Jeu_MilitaireSchuh_Suggested,2881
Juroku_MusashiJuroku_Musashi_Described,170
Juroku_MusashiTsuboi_Described,654
Kaooa,468
Ko-app-paw-na,393
KomikanAraucania_Observed,338
KomikanMapuChess_Described,599
Koti_Keliya,741
Kulaochal,915
La_Liebre_Perseguida,1494
La_Yagua,1175
Len_Cua_Kin_Ngoa,985
Ludus_CoriovalliHaretavl_-_No_Extension_Joined_Diagonal_Suggested,1673
Ludus_CoriovalliHaretavl_-_Top_Extension_Joined_Diagonal_Suggested,1674
Ludus_CoriovalliHaretavl_-_Both_Extension_Joined_Diagonal_Suggested,1675
Ludus_CoriovalliHaretavl_-_No_Extension_No_Joined_Diagonal_Suggested,1676
Ludus_CoriovalliHaretavl_-_Top_Extension_No_Joined_Diagonal_Suggested,1677
Ludus_CoriovalliHaretavl_-_Both_Extension_No_Joined_Diagonal_Suggested,1678
Ludus_CoriovalliHaretavl_Switch_Players_-_No_Extension_Joined_Diagonal_Suggested,1679
Ludus_CoriovalliHaretavl_Switch_Players_-_Top_Extension_Joined_Diagonal_Suggested,1680
Ludus_CoriovalliHaretavl_Switch_Players_-_Both_Extension_Joined_Diagonal_Suggested,1681
Ludus_CoriovalliHaretavl_Switch_Players_-_No_Extension_No_Joined_Diagonal_Suggested,1682
Ludus_CoriovalliHaretavl_Switch_Players_-_Top_Extension_No_Joined_Diagonal_Suggested,1683
Ludus_CoriovalliHaretavl_Switch_Players_-_Both_Extension_No_Joined_Diagonal_Suggested,1684
Ludus_CoriovalliHaretavl_Two_Dogs_-_No_Extension_Joined_Diagonal_Suggested,1685
Ludus_CoriovalliHaretavl_Two_Dogs_-_Top_Extension_Joined_Diagonal_Suggested,1686
Ludus_CoriovalliHaretavl_Two_Dogs_-_Both_Extension_Joined_Diagonal_Suggested,1687
Ludus_CoriovalliHaretavl_Two_Dogs_-_No_Extension_No_Joined_Diagonal_Suggested,1688
Ludus_CoriovalliHaretavl_Two_Dogs_-_Top_Extension_No_Joined_Diagonal_Suggested,1689
Ludus_CoriovalliHaretavl_Two_Dogs_-_Both_Extension_No_Joined_Diagonal_Suggested,1690
Ludus_CoriovalliHaretavl_Switch_Players_Two_Dogs_-_No_Extension_Joined_Diagonal_Suggested,1691
Ludus_CoriovalliHaretavl_Switch_Players_Two_Dogs_-_Top_Extension_Joined_Diagonal_Suggested,1692
Ludus_CoriovalliHaretavl_Switch_Players_Two_Dogs_-_Both_Extension_Joined_Diagonal_Suggested,1693
Ludus_CoriovalliHaretavl_Switch_Players_Two_Dogs_-_No_Extension_No_Joined_Diagonal_Suggested,1694
